"gene","enriched_in","Category","Term_accession","Term_description","Count_query","Pop_query","Count_universe","Pop_universe","%_query","%_universe","pval","adjpval","fold_change","Proteins_in_query"
"TEK","correlated","GO_BP","0001947","heart looping ","5","172","26","7049","2.32558139534884","0.368846644914172","0.00506403234136302","1","6.30500894454383","P17813;P35713;P37173;Q04721;Q86YT6"
"TEK","correlated","GO_BP","0048844","artery morphogenesis ","4","172","13","7049","1.74418604651163","0.184423322457086","0.00575112521891321","1","9.45751341681574","P17813;P21359;P37173;Q9ULJ6"
"TEK","correlated","GO_BP","0030509","BMP signaling pathway ","5","172","33","7049","2.32558139534884","0.468151510852603","0.0107434501281847","1","4.96758280479211","O43541;P17813;P17844;Q04721;Q9BQB4"
"TEK","correlated","GO_BP","0001570","vasculogenesis ","5","172","36","7049","2.32558139534884","0.510710739111931","0.0140789819753328","1","4.55361757105943","P17813;P35713;P37173;Q9UHF1;Q9ULJ6"
"TEK","correlated","GO_BP","1900152","negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay ","3","172","8","7049","1.16279069767442","0.113491275358207","0.0219573916118796","1","10.2456395348837","O75534;Q00839;Q14103"
"TEK","correlated","GO_BP","0030513","positive regulation of BMP signaling pathway ","4","172","23","7049","1.74418604651163","0.326287416654845","0.0224850302832439","1","5.34555106167846","P17813;Q04721;Q14980;Q8IWU6"
"TEK","correlated","GO_BP","0007265","Ras protein signal transduction ","5","172","44","7049","2.32558139534884","0.624202014470138","0.0259443667222862","1","3.72568710359408","P21359;P62993;Q8WZA2;Q92565;Q99497"
"TEK","correlated","GO_BP","0070934","CRD-mediated mRNA stabilization ","3","172","9","7049","1.16279069767442","0.127677684777983","0.0264261472982446","1","9.10723514211886","O75534;Q00839;Q14103"
"TEK","correlated","GO_BP","0001935","endothelial cell proliferation ","3","172","9","7049","1.16279069767442","0.127677684777983","0.0264261472982446","1","9.10723514211886","P21359;P28906;Q02763"
"TEK","correlated","GO_BP","0042060","wound healing ","5","172","46","7049","2.32558139534884","0.652574833309689","0.0296226523207939","1","3.56370070778564","O15519;P17813;P21359;P37173;Q04721"
